gene_id	gene_name	gene_description	chr	start	end	strand	baseMean	log2FoldChange	padj	significant	direction
79058	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing	chr17	81976807	82017406	+	5726.24176644487	1.87589522936274	0.00818117570219149	TRUE	Up
8455	ATRN	attractin	chr20	3471018	3651118	+	6443.28555406304	1.40472772117683	2.05903849962596e-05	TRUE	Up
374403	TBC1D10C	TBC1 domain family member 10C	chr11	67403915	67410089	+	2928.48985574907	3.64368467706585	0.00368538266445272	TRUE	Up
51678	PALS2	protein associated with LIN7 2, MAGUK p55 family member	chr7	24573268	24694193	+	9888.73951799935	-2.139663918536	0.47454852918544	FALSE	Down
11067	DEPP1	DEPP autophagy regulator 1	chr10	44970981	44978809	-	4195.14943378512	1.09886752930605	0.00104326785734163	TRUE	Up
10045	SH2D3A	SH2 domain containing 3A	chr19	6752160	6767463	-	6870.22842519917	-1.02008430704058	0.00169275422479433	TRUE	Down
23760	PITPNB	phosphatidylinositol transfer protein beta	chr22	27851669	27920134	-	5601.0156744672	-1.89003522706597	0.321410386520763	FALSE	Down
107986443	LINCADL	lincRNA adipogenesis and lipogenesis associated	chr5	115956571	115958599	+	9733.56309190625	0.148667187103496	0.261349977063753	FALSE	Up
122402	TDRD9	tudor domain containing 9	chr14	103928456	104052667	+	8452.88868852193	0.0329806818241785	0.00085418444874471	FALSE	Up
155185	AMZ1	archaelysin family metallopeptidase 1	chr7	2679522	2765125	+	4088.10685493983	0.826335642388612	0.646494979168027	FALSE	Up
9321	TRIP11	thyroid hormone receptor interactor 11	chr14	91965991	92040896	-	5248.09314967832	-0.396520578881947	6.12928304515169e-06	FALSE	Down
2044	EPHA5	EPH receptor A5	chr4	65319563	65670495	-	2961.84634758625	1.02609045193567	0.0379662517420465	TRUE	Up
84259	DCUN1D5	defective in cullin neddylation 1 domain containing 5	chr11	103050686	103092194	-	5356.8317433889	-0.861254451312153	2.26794661550363e-06	FALSE	Down
280636	SELENOH	selenoprotein H	chr11	57741491	57743550	+	7843.12009849586	-0.340281706186416	0.0187121403306362	FALSE	Down
9581	PREPL	prolyl endopeptidase like	chr2	44316281	44361862	-	7933.68156388402	-1.13811330686866	0.0395408939546831	TRUE	Down
84897	TBRG1	transforming growth factor beta regulator 1	chr11	124622836	124635926	+	1061.11789749237	3.43226697850994	4.77269145339088e-06	TRUE	Up
105377667	CHAER1	cardiac hypertrophy associated epigenetic regulator 1	chr4	56701545	56703971	-	5373.16078904783	2.8853986105741	0.000534411981981255	TRUE	Up
101928733	LOC101928733	uncharacterized LOC101928733	chr7	149398204	149401456	+	936.314124059863	-1.16813134952442	0.00101581169617328	TRUE	Down
728373	USP17L25	ubiquitin specific peptidase 17 like family member 25	chr4	9329911	9331503	+	5306.08014731435	0.810428564970976	0.0163616858599459	FALSE	Up
10947	AP3M2	adaptor related protein complex 3 subunit mu 2	chr8	42152946	42171673	+	24.9608913669363	-0.0992619311357569	0.000330570934089983	FALSE	Down
8821	INPP4B	inositol polyphosphate-4-phosphatase type II B	chr4	142023160	142847432	-	4723.53104189038	1.03293970790658	0.0171200294056663	TRUE	Up
103352541	LOC103352541	uncharacterized LOC103352541	chr6	139938864	139991094	-	140.035165734589	0.0696022355412868	0.0515164834772616	FALSE	Up
100302268	MIR1285-2	microRNA 1285-2	chr2	70252918	70253005	-	3813.92003659625	-1.54755550350504	6.98515929852614e-06	TRUE	Down
6569	SLC34A1	solute carrier family 34 member 1	chr5	177379235	177398848	+	3300.40363609558	-0.368004355648666	0.0023221003273589	FALSE	Down
729234	FAHD2CP	fumarylacetoacetate hydrolase domain containing 2C, pseudogene	chr2	96010526	96023398	+	9522.50777426176	-1.92124014334468	2.33949905440316e-05	TRUE	Down
8843	HCAR3	hydroxycarboxylic acid receptor 3	chr12	122714756	122716811	-	5500.47757483786	-2.4827487582999	0.00386637988542018	TRUE	Down
54332	GDAP1	ganglioside induced differentiation associated protein 1	chr8	74320613	74504745	+	2156.88642252935	0.212395654374665	0.598279041896201	FALSE	Up
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	chr1	19265982	19274194	-	3638.07220092509	1.08264113223966	0.0031677525555965	TRUE	Up
440584	SLC2A1-DT	SLC2A1 divergent transcript	chr1	42959049	42996814	+	2523.48812006647	0.576037823306265	0.042220188219309	FALSE	Up
6525	SMTN	smoothelin	chr22	31064105	31104624	+	294.59231643239	1.23651898046023	0.000154080963444383	TRUE	Up
127239154	LOC127239154	uncharacterized LOC127239154	chr1	257913	297502	-	227.572664171457	0.604866753454096	0.00161806424896705	FALSE	Up
100128640	ACVR2B-AS1	ACVR2B antisense RNA 1	chr3	38451027	38454820	-	1251.16753458977	1.83017405667823	0.000297594486546974	TRUE	Up
5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	chr19	9835257	9849689	+	821.603814098053	-3.06798131824068	0.25367080243912	FALSE	Down
100131943	LOC100131943	uncharacterized LOC100131943	chr17	20056287	20056630	+	2157.87386072101	0.411442923876518	0.988313891836782	FALSE	Up
1612	DAPK1	death associated protein kinase 1	chr9	87497228	87708634	+	2504.21217408963	3.44265826668461	1.89500031036314e-06	TRUE	Up
729678	LINC00847	long intergenic non-protein coding RNA 847	chr5	180830326	180839742	+	8159.65002986835	0.890855594620694	0.000487145137939983	FALSE	Up
105376030	LOC105376030	uncharacterized LOC105376030	chr9	36779475	36830456	+	7666.63852914935	-2.0506840395878	0.900238468933232	FALSE	Down
64328	XPO4	exportin 4	chr13	20777329	20903048	-	6243.89910348458	-2.67708174673226	0.000347126091402072	TRUE	Down
84333	PCGF5	polycomb group ring finger 5	chr10	91163012	91284337	+	3894.06787227606	1.78267311735519	0.00370406648238547	TRUE	Up
100847064	MIR5694	microRNA 5694	chr14	67441855	67441930	-	2049.18011884671	0.195688526528639	0.0113051491455287	FALSE	Up
83873	GPR61	G protein-coupled receptor 61	chr1	109539872	109548406	+	4568.5111797112	1.47893537783779	0.000211725518523283	TRUE	Up
93145	OLFM2	olfactomedin 2	chr19	9853718	9936515	-	541.486614460591	-0.233771933395324	5.05480707701635e-06	FALSE	Down
6512	SLC1A7	solute carrier family 1 member 7	chr1	53087179	53142638	-	3602.56113228621	-2.70323387823327	0.000252140087795584	TRUE	Down
109729126	FAM236C	family with sequence similarity 236 member C	chrX	72912615	72913401	+	4344.74539873423	3.05513865190457	0.0399898343501319	TRUE	Up
105378083	TAGAP-AS1	TAGAP antisense RNA 1	chr6	158988178	159088114	+	2032.01101129642	-0.787542741042635	4.36991616686451e-06	FALSE	Down
53340	SPA17	sperm autoantigenic protein 17	chr11	124673844	124697518	+	387.963347085752	1.64326704838802	0.000217493120799461	TRUE	Up
55331	ACER3	alkaline ceramidase 3	chr11	76860859	77026797	+	4487.30962941889	-1.75332356273007	0.000990467504999971	TRUE	Down
693203	MIR618	microRNA 618	chr12	80935736	80935833	-	2531.70690098777	-2.22514433224597	1.59867115645652e-05	TRUE	Down
3643	INSR	insulin receptor	chr19	7112255	7294414	-	4557.79376562918	-2.02257381510142	0.0797608631176092	FALSE	Down
100873942	PHEX-AS1	PHEX antisense RNA 1	chrX	22162733	22172983	-	3796.75399701111	1.14530046379744	0.000293773632917278	TRUE	Up
26575	RGS17	regulator of G protein signaling 17	chr6	153004459	153131282	-	8613.66038991371	-0.325031603974442	0.0664637181631482	FALSE	Down
124904603	LOC124904603	uncharacterized LOC124904603	chr1	241722926	241848128	-	8893.56255519902	1.31271887375817	0.00284554187700844	TRUE	Up
124902976	LOC124902976	uncharacterized LOC124902976	chr12	84154434	84294562	+	7235.67072265549	-2.4010992878044	0.0336238328852063	TRUE	Down
284759	SIRPB2	signal regulatory protein beta 2	chr20	1453120	1491587	-	8150.2199958358	-1.82220224259944	0.196384563833263	FALSE	Down
100302285	MIR1244-1	microRNA 1244-1	chr2	231713314	231713398	+	5978.38067530887	0.277457402928154	2.43603942138373e-05	FALSE	Up
124904157	LOC124904157	uncharacterized LOC124904157	chr1	40863914	40876670	+	5812.05374265788	1.54720829758376	7.0546913980597e-06	TRUE	Up
284266	SIGLEC15	sialic acid binding Ig like lectin 15	chr18	45825675	45844094	+	2813.15608363133	1.16362652814926	0.000569569542443693	TRUE	Up
101929719	LOC101929719	uncharacterized LOC101929719	chr5	140157319	140173051	+	4150.79998551868	1.78623155818987	0.0440968641618788	TRUE	Up
55667	DENND4C	DENN domain containing 4C	chr9	19230435	19374281	+	669.824914021883	1.38464776373926	1.22201064079303e-06	TRUE	Up
132241	RPL32P3	ribosomal protein L32 pseudogene 3	chr3	129382922	129399655	-	3134.59904602729	1.27767388806685	9.65857130744038e-06	TRUE	Up
309	ANXA6	annexin A6	chr5	151100706	151157815	-	7013.0339249433	-0.791063400131644	0.00025578709651453	FALSE	Down
51442	VGLL1	vestigial like family member 1	chrX	136532215	136556807	+	7267.03917074716	0.0496192798652913	2.29300587066626e-05	FALSE	Up
1401	CRP	C-reactive protein	chr1	159712289	159714589	-	949.949207892641	-0.73579347246054	0.000894981078830257	FALSE	Down
255812	SDHAP1	SDHA pseudogene 1	chr3	195959748	195990318	-	825.620310807135	-0.869997126099117	2.83031612380613e-05	FALSE	Down
10090	UST	uronyl 2-sulfotransferase	chr6	148747030	149076990	+	2111.04735041503	0.0539819243245089	0.000715089384272093	FALSE	Up
10984	KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	chr11	2608328	2699994	-	3622.4650365347	-0.0933814202780054	0.00406674951215037	FALSE	Down
199920	FYB2	FYN binding protein 2	chr1	56718789	56819696	-	4615.54684894858	1.42794690280559	1.18445272996888e-05	TRUE	Up
146439	BICDL2	BICD family like cargo adaptor 2	chr16	3027682	3036944	-	8909.56985528115	-0.872313805919573	0.857093027728858	FALSE	Down
205327	C2orf69	chromosome 2 open reading frame 69	chr2	199911293	199955935	+	9319.02162208455	-2.75322743796732	0.000281812363778249	TRUE	Down
100132612	LINC02312	long intergenic non-protein coding RNA 2312	chr14	97749264	97763989	-	2087.84715834772	-0.714075255023502	3.7282649458669e-05	FALSE	Down
6386	SDCBP	syndecan binding protein	chr8	58552924	58582859	+	9096.44569522003	1.69129539596475	0.294789704170199	FALSE	Up
