chr	start	end	type	gene_name	distance_to_tss	name	score	strand	log2FoldChange	padj	significant	direction
chr1	9925	10165	Promoter	DDX11L1	1944	Peak_7861	298.177581443451	+	-1.33392186866084	0.00587349483058788	TRUE	Less accessible
chr1	1157125	1157539	Distal	TTLL10	16755	Peak_8389	105.158732680138	-	0.884238876589436	0.00395969877079336	FALSE	More accessible
chr1	1613898	1614265	Promoter	MIB2	1556	Peak_1844	278.857404226437	+	-0.447464798485998	0.000622635049297409	FALSE	Less accessible
chr1	1619154	1619351	Gene_body	MIB2	3700	Peak_1845	387.066990882158	-	-0.527304122144071	0.000260805107256029	FALSE	Less accessible
chr1	5862269	5862763	Promoter	MIR4689	472	Peak_2126	436.778036667965	-	1.36434954337469	0.0826762815857208	FALSE	More accessible
chr1	6660975	6661376	Distal	PHF13	47244	Peak_5453	302.816065680236	+	-0.277867883717601	0.00301492748744786	FALSE	Less accessible
chr1	8210351	8210797	Gene_body	LINC01714	8833	Peak_1685	475.181323639117	+	1.70255197125972	6.65173910291944e-05	TRUE	More accessible
chr1	9115070	9115486	Distal	MIR34AHG	67322	Peak_3364	254.972538514994	-	-1.28754369291364	0.00202805491948529	TRUE	Less accessible
chr1	9151452	9151768	Promoter	MIR34A	325	Peak_5383	321.739853685722	-	1.14520844426193	0.00100667295893654	TRUE	More accessible
chr1	9179573	9180043	Gene_body	MIR34AHG	2819	Peak_3362	81.6420222632587	+	0.801366667534633	0.0134112641020587	FALSE	More accessible
chr1	9182180	9182629	Promoter	MIR34AHG	212	Peak_3360	269.603136146907	-	-0.568674611042132	0.774365853377515	FALSE	Less accessible
chr1	10025988	10026424	Distal	UBE4B	6844	Peak_1183	190.124122088309	+	0.0913177837312821	0.0547408228333341	FALSE	More accessible
chr1	10031334	10031615	Promoter	UBE4B	1498	Peak_1181	281.601318717003	-	-1.36602695212856	0.00656302569038235	TRUE	Less accessible
chr1	10032595	10032822	Promoter	UBE4B	237	Peak_1180	65.3800299856812	-	-1.3335089307327	0.0117700983224437	TRUE	Less accessible
chr1	11745335	11745675	Distal	C1orf167-AS1	34284	Peak_887	342.664543003775	-	1.40542642477789	0.0625632432974409	FALSE	More accessible
chr1	11778698	11778978	Gene_body	C1orf167-AS1	921	Peak_885	166.394845664036	+	1.10513162754105	0.0116822052459233	TRUE	More accessible
chr1	11779312	11779681	Promoter	C1orf167-AS1	307	Peak_884	474.109131016303	-	1.38711608048528	0.00844142154818401	TRUE	More accessible
chr1	12165488	12165770	Promoter	TNFRSF1B	1503	Peak_850	260.552255786024	-	0.0953623281041268	0.813889904023367	FALSE	More accessible
chr1	12201175	12201462	Gene_body	TNFRSF1B	34184	Peak_852	362.372193392366	+	1.1219309801395	0.143848863632585	FALSE	More accessible
chr1	13345475	13345958	Gene_body	PRAMEF14	1659	Peak_4047	213.321563089266	-	1.37580169817288	0.0383349048322067	TRUE	More accessible
chr1	13364296	13364448	Distal	PRAMEF14	17162	Peak_4049	139.652794518042	+	0.760557276403587	0.0127244873101125	FALSE	More accessible
chr1	13389054	13389479	Promoter	PRAMEF17	578	Peak_1149	225.294392812066	+	0.152030133302506	0.045243291333096	FALSE	More accessible
chr1	16072934	16073142	Gene_body	FAM131C	717	Peak_3909	288.336689840071	-	-1.13971607935351	0.44361726644335	FALSE	Less accessible
chr1	16073299	16073552	Promoter	FAM131C	352	Peak_3907	91.4322980679572	-	-1.32135035937549	0.184603193231941	FALSE	Less accessible
chr1	16175738	16176236	Distal	EPHA2-AS1	20562	Peak_4248	373.330249777064	-	-0.760299262315881	0.0513815716919955	FALSE	Less accessible
chr1	19175455	19175772	Distal	EMC1	76097	Peak_4119	86.2547336146236	-	0.953946641012672	0.137755534800051	FALSE	More accessible
chr1	19231045	19231383	Gene_body	EMC1	20507	Peak_4117	410.169256525114	-	0.811146890659591	0.0591446446020894	FALSE	More accessible
chr1	19920517	19921015	Distal	OTUD3	38122	Peak_748	221.695554477628	-	-0.387183751433076	0.0478028496142356	FALSE	Less accessible
chr1	20190652	20190997	Distal	PLA2G2C	4134	Peak_3713	401.186514541041	+	0.688377106241155	0.0442197494642809	FALSE	More accessible
chr1	20334777	20335163	Distal	LINC01141	96457	Peak_5173	189.042098855134	-	-0.501649653359576	0.000271774998969281	FALSE	Less accessible
